,,Solar ,Power grid,Net
5.007,,5007,16975 ,11967.77333
5.608,,5608,17032 ,11424.16
4.45,,4450,16957 ,12506.53333
3.64,,3640,17300 ,13660.42667
4.052,,4052,17151 ,13098.56
4.039,,4039,17375 ,13336.41333
4.433,,4433,17384 ,12950.57333
5.377,,5377,17438 ,12060.65333
3.664,,3664,17409 ,13745.17333
5.533,,5533,17173 ,11639.90667
1.639,,1639,17121 ,15482.49333
4.646,,4646,17023 ,12377.25333
5.862,,5862,16802 ,10940.45333
5.975,,5975,16926 ,10950.97333
5.895,,5895,16916 ,11021.32
6.119,,6119,16832 ,10713.05333
6.207,,6207,17081 ,10874.01333
5.052,,5052,17101 ,12049.01333
6.132,,6132,17043 ,10911.46667
2.215,,2215,17066 ,14850.76
3.62,,3620,17014 ,13394.02667
3.782,,3782,16975 ,13192.56
1.957,,1957,16915 ,14957.72
6.639,,6639,16704 ,10064.94667
3.476,,3476,16454 ,12978.08
6.445,,6445,16341 ,9896.013334
6.393,,6393,16266 ,9873.08
5.314,,5314,16356 ,11041.89333
6.439,,6439,16475 ,10036.46667
3.876,,3876,16345 ,12468.69333
5.382,,5382,16086 ,10704.18667
6.744,,6744,16393 ,9649.44
6.607,,6607,16704 ,10097.42667
6.763,,6763,16923 ,10159.66667
5.626,,5626,16734 ,11108.13333
6.989,,6989,16715 ,9725.72
7.175,,7175,16615 ,9439.666666
7.225,,7225,16298 ,9073.026666
6.557,,6557,16209 ,9652.12
3.469,,3469,16137 ,12668.28
3.383,,3383,16310 ,12927.24
3.888,,3888,16606 ,12717.92
6.703,,6703,16586 ,9883.133334
5.321,,5321,16859 ,11537.98667
3.733,,3733,16936 ,13203.16
7.533,,7533,16982 ,9448.546666
5.856,,5856,17001 ,11145.06667
6.851,,6851,17085 ,10233.85333
7.564,,7564,17090 ,9525.866668
8.072,,8072,16873 ,8800.906666
8.14,,8140,16845 ,8704.8
6.033,,6033,17003 ,10969.61333
6.326,,6326,17180 ,10854.48
8.821,,8821,17276 ,8454.626668
8.577,,8577,17107 ,8529.826666
8.157,,8157,17131 ,8974.466666
6.176,,6176,17230 ,11054.4
8.382,,8382,17288 ,8906.266666
5.42,,5420,17330 ,11910.08
8.845,,8845,17251 ,8406.146666
7.443,,7443,17268 ,9825.16
